ID,阶段,节点,描述,触发条件,输入,主要功能,自动化/系统任务,事件/边界,产出/输出,KPI,SLA,关联数据实体,涉及服务,集成,RAG/AI 用法,风险与控制,下游节点
A,售前,客户报备,录入或自动接收新线索/客户，查重并分配负责人。,销售手动创建；外部来源Webhook/导入。,客户/账户基本信息、联系人、来源渠道、预期领域/区域。,查重合并；线索转客户；初始联系人绑定；首个待办生成。,重复校验；按区域/轮询分配负责人；自动创建‘首次联系’任务。,创建消息事件；数据校验失败异常边界。,客户/账户记录；活动时间线初始化；首个任务。,重复率；首响时长；新建到首次联系间隔。,首次联系≤24小时；查重响应≤1分钟。,"Accounts, Contacts, Activities, Tasks","API网关, 客户与账户(ACC), 任务(TASK), 通知(NOTI), 集成(INTG)",企业微信表单、钉钉机器人、Excel导入Webhook,基于历史相似客户给出跟进建议模板。,隐私合规；防止重复/恶意导入；最小化必填。,B 立项
B,售前,立项,在客户基础上创建具体项目/机会，确定目标与金额。,客户报备通过；销售手动发起。,项目名称、预估金额、预计成交日期、关键联系人。,机会编号；挂载里程碑模板；联系人/账户关联。,创建默认任务清单；进入销售漏斗与预测。,进入阶段事件；金额阈值校验异常。,机会记录；默认任务；漏斗统计。,立项转化率；在途金额；预测偏差。,立项到报价草稿≤3天。,"Projects(机会), Accounts, Contacts, Tasks","项目/机会(OPP), 任务(TASK), 通知(NOTI)",日历排期；企业微信提醒。,历史同类项目要点清单建议。,金额编辑权限；模板版本控制。,C 方案报价
C,售前,方案报价,编制技术/商务方案及报价，版本化管理。,立项完成；需求澄清任务完成。,需求文档、配置清单、成本规则、税率运费。,报价版本管理；税费计算；约束/折扣规则校验。,生成报价PDF与合同草稿；AI差异摘要；提交会审前置检查。,生成文档消息；校验失败异常。,报价版本(多版)；PDF/合同草稿；校验报告。,平均报价周期；版本次数；折扣合规率。,报价草稿≤5个工作日。,"Documents, Projects, Products/Services, Quotes","OPP, 文档库(OBJ), 通知(NOTI)","对象存储, 模板引擎, 印章/电子签前置。",从知识库抽取条款/参数对比建议。,敏感折扣门槛；审批前禁止签发。,D 会审审批
D,售前,会审审批,多角色会签与技术/财务/商务审批。,报价提交会审。,最新报价、技术方案、风险清单。,多泳道会签；退回原因标准化；记录审签。,超时边界催办；通过/退回通知；AI生成审批提要。,定时边界事件(>3天)；错误边界。,审批通过/退回指令；审签记录。,一次通过率；会审时长分布。,审批平均≤3天；单节点≤24小时。,"Projects, Documents, Activities","工作流(WF/Camunda), 通知(NOTI), OPP",企业微信/钉钉待办；邮件。,审批摘要、风险亮点自动生成。,职责分离(SoD)；阈值二级审批。,E 跟进谈单 或 回到 C 方案报价
E,售前,跟进谈单,持续跟进客户活动，推进成交。,会审通过。,活动记录、会议纪要、竞争对手、关键干系人。,下一步计划；提醒；关系图；机会评分可视化。,沉默告警(7天无活动)；AI建议下一步话术；评分模型。,无活动定时事件；阶段转换。,活动时间线；更新赢率；下一步任务。,活动频次；阶段停留时长；赢单概率走势。,关键机会每周至少1次互动。,"Activities, Tasks, Contacts, Projects","OPP, TASK, NOTI, AI服务(AIS)",企业微信会话归档；日历。,相似案例建议、跟进邮件草稿。,合规留痕；外联频次上限提示。,F 结果判定
F,售前,结果判定,提交赢单/输单结果并复核。,谈单完成或截止；管理复核触发。,赢单金额/日期；输单原因(标准分类)。,关闭机会；转售后；输单复盘模板。,赢单触发Saga编排前置/或启动售后流程；输单知识沉淀。,赢单/输单消息事件。,赢单机会；或关闭记录与复盘。,赢单率；Top输单原因占比。,结果确认≤2个工作日。,"Projects, Orders, Activities, Documents","WF, ORD, FIN, INV, NOTI",电子签/合同；BI上报。,输单原因聚类与洞察。,金额阈值复核；数据锁定后不可更改。,G 转售后建档 或 X 关闭
G,售后,转售后建档,创建交付项目，完成资料与任务包初始化。,赢单消息。,合同、报价版本、范围、里程碑、联系人交接。,交付项目建档；生成子任务包；文档归档。,自动分配PM；生成项目时间线；风险清单初始化。,项目创建消息事件。,交付项目、子任务、归档资料。,建档时效；交接缺口项。,赢单后≤1个工作日完成建档。,"Projects, Tasks, Documents, Accounts, Contacts","OPP, TASK, OBJ, NOTI",文档库/知识库；钉钉通知。,交付范围摘要；风险模板建议。,交接内容完整性检查。,H 分派人员
H,售后,分派人员,基于技能/地区/负载分配人员并排期。,建档完成。,技能标签、区域、可用性、工作量。,资源排程；冲突检测；工期预估。,智能排班建议；冲突告警；同步日历。,排期锁定事件。,人员安排单；日程。,资源利用率；响应时长。,关键项目48小时内完成分派。,"Tasks, Users, Calendars","TASK, NOTI, INTG",钉钉日程/企业微信。,历史项目用时分布参考。,资质校验；避免超负荷。,I 工地交底
I,售后,工地交底,现场条件确认与风险识别。,人员到位/首日进场。,交底表单、现场照片、坐标、风险项。,交底签字；问题清单；整改任务。,超阈值风险自动升级；图片自动入库。,异常事件→通知/任务。,交底记录；风险闭环任务。,交底合规率；问题闭环率。,进场当天完成交底。,"Documents, Tasks, Activities","TASK, OBJ, NOTI, INTG",移动端表单、企业微信。,交底要点生成；风险提示词。,位置信息/照片合规；签名防伪。,J 绘图下单
J,售后,绘图下单,深化出图并下单，版本受控。,交底完成；测量数据齐全。,测量数据、设计要求、物料清单。,制图流程；评审/打回；生成下单数据。,任务拆解；合规校验；下单接口。,打回事件；下单成功消息。,图纸/版本；下单记录。,出图周期；返工率。,常规7天内出图。,"Documents, Tasks, Orders","TASK, OBJ, ORD",PLM/ERP/下单API。,图纸检查清单；常见问题库。,版本锁定；权限分离。,K 安装
K,售后,安装,现场安装执行与质控留痕。,物料到位；排期到点。,安装计划、质检点、WBS任务。,打卡留痕；照片/视频上传；异常上报。,Webhook回传；异常自动生成整改任务。,异常/阻塞事件；完工消息。,安装报告；整改任务。,计划偏差；一次合格率。,关键节点需在24小时内回传资料。,"Tasks, Documents, Activities","TASK, NOTI, INTG, OBJ",企微/钉钉拍照上传；地理定位。,照片质量检测/合规提示（可选）。,施工安全；证据留存。,L 内部验收
L,售后,内部验收,项目内部质量确认与整改闭环。,安装完工消息。,检验清单、缺陷项、整改结果。,抽检/全检；复验；合格放行。,不合格自动回流至安装；通过生成客户验收包。,质量不合格事件。,验收记录；客户交付资料。,缺陷密度；复验次数。,安装完工48小时内完成内部验收。,"Documents, Tasks","TASK, OBJ, NOTI",报告模板；邮件。,缺陷归类与历史对比。,抽检比例；证据留存。,M 客户交付
